name,ring,quadrant,isNew,description
Emacs,adopt,IT and Tech,TRUE,"Plan to learn projectile, cider and shells. "
Hyperion,hold,Art and Pleasure,TRUE,Waiting to get ereader to get the second book.
Bitcoin,asses,Finance and Social,TRUE,Cryptocurrencies have difficult times recently. It could be usefull to buy some while price is low?
Zero TV series,adopt,Health and Life,FALSE,"My time is more valuable. Investing time in reading, listening music, Safari Books videos, tsumego and sleep."
AMP/DAC ,hold,IT and Tech,FALSE,Hold until birthday and check if something interesting comes up from CES 2018. Maybe for Xmas 2018? .) Project Polaris by Garage1217 http://www.garage1217.com/garage1217_diy_tube_headphone_amplifiers_015.htm  Conductor V2+ by Burson https://www.bursonaudio.com/products/conductor-v2-plus/
New Smartphone,asses,IT and Tech,TRUE,"Time to buy new one. Battery in old one is completly dead and unacessible wi-fi at work makes it hard to connect with people. Considering Xiami A1, wait for A2 or Nokia 7."
E-reader,hold,IT and Tech,FALSE,Wait for a new version of kindle before Xmas and asses alternatives like https://www.icarusreader.com/icarus-illumina-pro-9.7-inch-ereader or https://uk.kobobooks.com/collections/ereaders/products/kobo-aura-one#tab-2
BBC Radio 3 Open Ear ,asses,Art and Pleasure,TRUE,Haven't attended last six months. Need to put to calendar next one
Go,adopt,Art and Pleasure,TRUE,In next 2 months I should improve to 6k level on ogs. That should be good preparation for tournament at the end of the summer. In order to do that I should re-read all Jump Level Up books.
safaribooksonline.com,adopt,IT and Tech,FALSE,Year subscription with  half price discount is worth to buy. Especially for the videos and online courses. Nevertheless I will not extend for next year. TODO Reasons
Personal Radar,adopt,Finance and Social,TRUE,Apply strategy to life decisions. Inspired by ThoughtWorks and Neal Ford. 
Smartwatch and Fitness Tracker,adopt,Health and Life,TRUE,It helps to set exercise goals plus long term data.
Electric Toothbrush,trial,Health and Life,FALSE,Foreo Issa hybrid - https://www.foreo.com/issa-hybrid  - It is ok but still rquire also cleaning with normal toothbrush. Longer period of usage is needed.
Regular Gym,trial,Health and Life,FALSE,Goal for next three months is to be able run 4.0km  under 24minutes without stop. Current time is ~26min with 2 stops.
Clojure,trial,IT and Tech,TRUE,Exercise programming in different paradigms (styles)
"Algorithms, Part I",hold,IT and Tech,FALSE,"Useful course, the sad thing is that time and other priorities force me to withdraw from the current season and join maybe again in future."
Backpack and Messenger bag,asses,Finance and Social,TRUE,"A backpack should be small for 13"" laptop but it should be able to carry 13x13 Go Board and gym equipment should fit too."
Elm,hold,IT and Tech,FALSE,Nice language for frontend development. No time or rather other projects have higher priority.
nunjucks,hold,IT and Tech,TRUE,Templating engine for JavaScript https://mozilla.github.io/nunjucks/ (No time)
glimmerjs,hold,IT and Tech,TRUE,DOM rendering engine https://glimmerjs.com/ (No time)
Reasonml,asses,IT and Tech,FALSE,Ocaml in js https://reasonml.github.io/
Openbazaar,asses,Finance and Social,FALSE,Would be good way to reduce amount things i owe in favour of some crypto.
Cafe Oto Membership,hold,Art and Pleasure,FALSE,I promised myself the membership after I get new job but it is questionable if I will be able to go Oto as often I wish.
Famous Five (Audio)books,adopt,Art and Pleasure,TRUE,Finally read all the books from childhood while improving english.
Spa,hold,Health and Life,TRUE,Week in one of the Slovak or Czech spa could be good.
Headphones Free Work,adopt,Finance and Social,TRUE,"Listening music is great and getting to flow too. On another hand, they isolate and discourage collaboration."
http://yunguseng.com/ - Online Go League,hold,Art and Pleasure,TRUE,Online Go league with reviews by a teacher. Regular long games can be a good way to improve the play. On hold as time deficit prevents me from getting full value from it. May resume in next semester (September ?)
Sleep before 23:00,asses,Health and Life,TRUE,Sometimes I'm in bed already at 8 tired from exhaustion. Other days cannot sleep till 1-2am. Making sure that I go sleep early can help with health too.
Rust,asses,IT and Tech,TRUE,"Another language to explore and learn in order to extend my programming capabilities, understanding, patterns and idioms. It can be especially usefull for writing extensions for Ruby."
Hire Cleaner,hold,Finance and Social,TRUE,Will wait until Amazon cleaning service become available in my area. https://www.amazon.co.uk/Deep-Cleaning-bedrooms-Inside-Fridge/dp/B0798S7DZN/
James Herbert - The Rats,trial,Art and Pleasure,TRUE,The Rats (1974) is a horror novel written by British writer James Herbert. This was Herbert's first novel and included graphic depictions of death and mutilation.  https://en.wikipedia.org/wiki/The_Rats_(novel) Interesting and very cruel novel.
Little Schemer,adopt,IT and Tech,TRUE,"Read through the book second time, this time even more carefully and enjoyed as first time. Good companion to read while watching MIT CISP lectures."
Seasoned Schemer,trial,IT and Tech,TRUE,Follow up and advanced topics from Little Schemer.
Richard Morgan - Altered Carbon,adopt,Art and Pleasure,TRUE,Sci-fi that intrigued my at work and borrowed from Daisy. It is fast paced sci-fi with strong feeling of nowadays tv-series. Haven't been much surprised when I found out that indeed Netflix made tv serie adaptation.
Peckham Chamber Orchestra,adopt,Art and Pleasure,TRUE,"Local orchestra which Hortense is also part of. They sound sometimes can be rough, but actually some of the pieces they played sounded better than the version I found on youtube."
100% Chocolate,trial,Health and Life,TRUE,"I like choccolate, especialy with coffee as a desert but in order to avoid sugar I'm getting used to 100% black. At the moment I have three options Montezuma's 100% black https://www.montezumas.co.uk/bars-c1/100-cocoa-chocolate-bar-absolute-black-p249 , with Orange and Chocolate nibs https://www.montezumas.co.uk/bars-c1/absolute-black-c69/100-cocoa-bar-with-orange-cocoa-nibs-absolute-black-p326 and M&S Peruvian https://commoditiesconnoisseur.wordpress.com/2018/03/09/marks-spencer-peru-100-86-5-100/"
Elliptic Tales,trial,Art and Pleasure,TRUE,Can become very challenging but it is very enjoyable math book. At first trying to read while not understanding many parts and after I get some math refreshment will need to read again. If i tried read and underestand in same I would get stuck and never seen the forest over trees.
"Monzo, Revolut or TransferWise card",asses,Finance and Social,TRUE,"Everyone at work uses Monzo, Juraj Bednar some time ago recommended Revolut and recently received e-mail from Transferwise which I already use that they are introducing similar service. Anyway all depends heavily on modern smartphone."
Instant Piano Comic,asses,Art and Pleasure,TRUE,On todo list to read.
Hannu Rajaniemi  - The Quantum Thief,adopt,Art and Pleasure,TRUE,"Recommended and borrowed from Andrej. Good sci-fi, bit similar to Altered Carbon"
Chess,trial,Art and Pleasure,TRUE,Found few people at work who play chess (although nobody plays Go). Also have a good motivation for payback to Franck and Gayan :). Plan is to reach 1650 elo from current 1550 in 3 months.
Maxence Cyrin - Novö Piano (2010),adopt,Art and Pleasure,TRUE,"Beatiful. Not fan of covers in general but in this case these piano versions are amazing. ""No Cars Go"" by Arcade Fire,  ""Around The World"" by Daft Punk and of course the ""Where Is My Mind"" by Pixie are incredible."
