name,ring,quadrant,isNew,description
Cold shower,adopt,Health and Life,TRUE,Inspired by Juraj podcast https://juraj.bednar.io/podcast/2016/12/14/miso-duchon-o-cestovani-otuzovani-lifestyle-design-a-sebarozvoji/. It is great motivation tool (how I can do bigger things when I'm scared even just cold water? With adoption helped the fact that in Spring my shower broke and hot water stop working completely .)
Emacs,trial,IT and Tech,TRUE,Push brain to learn new tool and also step towards learn more lisp or clojure in future. One nice benefit of learning and using Emacs is that many commands in terminal adhere many keyboard its shortcuts which also improve productivity in terminal.
Hyperion,asses,Art and Pleasure,TRUE,Waiting to borrow from Andrej
Bitcoin,trial,Finance and Social,TRUE,"Savings diversification, investment with future possible grow. Also understanding mining, trading and blockchain technologies may be very usefull knowledge for a future."
Ethereum,hold,Finance and Social,TRUE,Bitcoin future replecement ? Not having enough experience with btc and time in general it is on hold but it should be something to keep eye on for sure.
Zero TV series,trial,Health and Life,TRUE,"My time is more valuable. Investing time to reading, listening music, safaribooks videos, tsume-go and sleep."
Reduce intake of Sugar,asses,Health and Life,TRUE,Good physical and psychical benefits. Haven't figured out how to reduce close to 100% and still have high intake of fructose. 
HD 600 headphones,adopt,IT and Tech,TRUE,"After long time decided go for open-back audiophile level type headphones. After research the HD 600 came as the best quality, features and price. Highly recommend!"
AMP/DAC ,asses,IT and Tech,TRUE,Good headphones require also good AMP. Though haven't decided yet which.   Project Polaris by Garage1217 http://www.garage1217.com/garage1217_diy_tube_headphone_amplifiers_015.htm  Conductor V2+ by Burson https://www.bursonaudio.com/products/conductor-v2-plus/
New smartphone,hold,IT and Tech,TRUE,Waiting for next year models. With latest iphone and google pixel 2 phones it is expectable that some of the features go to mainstream next year and also prices will drop. For now the current phone should serve good enough.
Bone,trial,Art and Pleasure,TRUE,"Bone comic book series, written and illustrated by Jeff Smith (1991 to 2004). Reading 2-3 issues per weekend and it is great fun."
E-reader,hold,IT and Tech,TRUE,Wait for new version of kindle before xmas and asses alternatives like https://www.icarusreader.com/icarus-illumina-pro-9.7-inch-ereader or https://uk.kobobooks.com/collections/ereaders/products/kobo-aura-one#tab-2
BBC Radio 3 Open Ear ,trial,Art and Pleasure,TRUE,Great value for the money and also exploration new things in contemporary classical music. The first session at LSO St. Luke was great and surprisingly the tickets were available week before.
Go,adopt,Art and Pleasure,TRUE,Board game with multiple benefits.
safaribooksonline.com,trial,IT and Tech,TRUE,Substitution for tv series and investment into education.
Trezor,trial,IT and Tech,TRUE,Using as u2f and password manager. One disadvantage is pwd manager is only for chrome based browser.
Personal Radar,trial,Finance and Social,TRUE,Apply strategy into life decisions. Inspired by Thoughtworks and Neal Ford
New Job,trial,Finance and Social,TRUE,Continue through the probationary period
Pair programming,trial,IT and Tech,TRUE,Way to be more productive and active programmer.
internetgoschool.com/,trial,Art and Pleasure,TRUE,Improving my Go game play. Although it helps learn basics and strategy on other hand noticed that I'm not improving my reading skills as much as I would like to so study books and do classic tsumego the hard way may be better.
tmux,adopt,IT and Tech,TRUE,Increase productivity in terminal.
New camera,hold,IT and Tech,TRUE,Current price for latest fuji x100f is above budget and with improved phone cameras to buy one atm is questionable. Also Fujifilm X-E3 looks nice so let's see what 2018 will bring.
Smartwatch and fitness tracker,asses,Health and Life,TRUE,"Need investigate benefits and if Fitbit or switch to complet platform? (Apple, Samsung)"
Electric Toothbrush,asses,Health and Life,TRUE,To improve quality and speed of cleaning teeth. Xmas present for self
Regular gym,trial,Health and Life,TRUE,It is important .)
Clojure,asses,IT and Tech,TRUE,Exercise programming in other paradigm (style)
"Algorithms, Part I",trial,IT and Tech,TRUE,"Amazing course, the bad thing is that time and other priorities may force me to withdraw from current season and join maybe again in future."
Reduce cheese and dairy products,hold,Health and Life,TRUE,"Some reports suggest that dairy products may be source of trouble but on other side they are source of some useful proteins, calcium and more importantly cheese makes taste everything better."
Winter coat/jacket,asses,Finance and Social,TRUE,Would be nice to get new jacket. 
Backpack and messenger bag,asses,Finance and Social,TRUE,"Find new one before old one completely breaks. Though it is hard as some requirements are pretty opposite. Backpack should be small for 13"" laptop but it should be able cary 13x13 Go Board and gym equipment should fit too."
